temp, energy_density, magnetisation, specific_heat, susceptibility
1, -1.997161280020222, 0.9992756000105902, 0.02339640366124513, 0.0015764835338995908
1.05, -1.995767920019646, 0.9989156000105145, 0.03172192910242384, 0.002273225447269007
1.1, -1.9940031200189556, 0.9984551200104244, 0.04114742161588712, 0.003158448739701601
1.15, -1.9916879200180895, 0.9978484000102783, 0.052673126624081565, 0.004294626751004177
1.2, -1.9885571200169856, 0.997017160010079, 0.06722653289898517, 0.005861954629214476
1.25, -1.984739840015762, 0.9959922400098301, 0.08337845095209777, 0.007831699970163754
1.3, -1.9803913600144742, 0.9948117600095148, 0.10024333843789489, 0.010031550421375029
1.35, -1.974734960012897, 0.9932584800090625, 0.12072125868791961, 0.012939488737444023
1.4, -1.9680335200113788, 0.991363160008601, 0.14424147679001553, 0.016891041766211857
1.45, -1.960410160009845, 0.9891980400080129, 0.16867332033011243, 0.021303506918336317
1.5, -1.9513812000083215, 0.9865667600073564, 0.1967461457830763, 0.027089816911696592
1.55, -1.9402925600067544, 0.9832900800065305, 0.22791395646740553, 0.033949275150030926
1.6, -1.9279205600054599, 0.9794592400057428, 0.2654387783463789, 0.04527887315697399
1.65, -1.9143457600043363, 0.975246280004926, 0.30131167555744215, 0.05554985083848199
1.7000000000000002, -1.89855600000326, 0.970267680004059, 0.3393167495237809, 0.06714994946958219
1.75, -1.879526560002524, 0.9638245600032204, 0.3892435020778081, 0.09057883058216248
1.8, -1.8589328000019034, 0.9564940800025385, 0.44468879878594536, 0.1255806955590338
1.85, -1.836803680001604, 0.948756240001928, 0.4911253742646917, 0.14308654361606435
1.9, -1.8094019200011038, 0.9383567600013681, 0.5601859915946091, 0.19316108203898022
1.9500000000000002, -1.7792759200008228, 0.9258252800010144, 0.6403213176753518, 0.2750017902484008
2, -1.7461409600005817, 0.9117079200006729, 0.7165892151774551, 0.3658594303370501
2.05, -1.7069958400004157, 0.8930778800005583, 0.8211077173105318, 0.5221922464645858
2.1, -1.6632116800001586, 0.8707513600004249, 0.9232972768638037, 0.7233682407781825
2.1500000000000004, -1.6146941599998887, 0.8440971600003049, 1.0335276941259939, 0.9724991850463358
2.2, -1.5594675199996508, 0.8100419200002265, 1.1465184393557197, 1.319014683709685
2.25, -1.4978479999994778, 0.7702402800001374, 1.242751859680291, 1.6818926162111731
2.3, -1.4383676799993714, 0.7306384800000942, 1.2859086489982516, 1.9791993192483146
2.35, -1.3718415999994114, 0.6818836000000271, 1.310719777452458, 2.3088668957726846
2.4000000000000004, -1.3097922399994735, 0.6369440399999261, 1.2802387228410084, 2.4669522461781543
2.45, -1.2424832799996275, 0.5833571599998859, 1.2194184109924682, 2.6162142970026063
2.5, -1.1869342399997835, 0.5418693599998865, 1.131577336237504, 2.5871862997222506
2.55, -1.130858719999905, 0.4964814399998734, 1.0250745190215984, 2.513442405313006
2.6, -1.0799721599999992, 0.45456355999989656, 0.927834686755343, 2.405350996927529
2.6500000000000004, -1.037497440000097, 0.422368879999928, 0.8383950273181764, 2.24865018896617
2.7, -0.9976898400001207, 0.3930379999999466, 0.7560648005645889, 2.0702256946709734
2.75, -0.9629300800001858, 0.36742107999997214, 0.6824363825699888, 1.899009700789784
2.8, -0.9302763200001468, 0.3448411200000189, 0.6149165363306413, 1.7251915556124604
2.85, -0.9008818400001237, 0.32415252000004585, 0.5634239699558782, 1.5831481465822586
2.9000000000000004, -0.874130480000057, 0.30683996000006225, 0.5154527650025971, 1.4422099223136882
2.95, -0.8492457600000353, 0.29182108000006407, 0.47736837832407086, 1.3245855073730037
