temp, energy_density, magnetisation, specific_heat, susceptibility
1, -1.9999987, 0, 0.0000104904175, 0
1.05, -1.9999987, 0, 0.000009515119, 0
1.1, -1.9999987, 0, 0.000008669766, 0
1.15, -1.9999987, 0, 0.000007932263, 0
1.2, -1.9999987, 0, 0.0000072850116, 0
1.25, -1.9399987, 0.015, 0.2979901, 0.023279998
1.3, -1.9599987, 0.005, 0.18556811, 0.0076153846
1.35, -1.9999987, 0, 0.0000057560587, 0
1.4, -1.9799987, 0.005, 0.08082147, 0.0070714285
1.45, -1.9999987, 0, 0.0000049894966, 0
1.5, -1.9199988, 0.02, 0.27307087, 0.0256
1.55, -1.8199989, 0.039999995, 0.545435, 0.04748387
1.6, -1.7399989, 0.039999995, 0.7068775, 0.045999996
1.6500001, -1.8799988, 0.02, 0.3314632, 0.023272725
1.7, -1.8599988, 0.024999999, 0.36041793, 0.027941173
1.75, -1.9599987, 0.005, 0.10240329, 0.005657143
1.8, -1.9399987, 0.01, 0.14370666, 0.010888889
1.85, -1.7999989, 0.029999997, 0.42074716, 0.030486483
1.9000001, -1.8999988, 0.005, 0.21052873, 0.005210526
1.95, -1.7999989, 0.034999996, 0.3787001, 0.03338461
2, -1.7799989, 0.049999993, 0.3916018, 0.044999994
2.0500002, -1.9199988, 0.01, 0.14620091, 0.009560975
2.1, -1.4799992, 0.05999999, 0.7706131, 0.059809532
2.15, -1.9199988, 0.015, 0.13291712, 0.013534883
2.2, -1.8599988, 0.024999999, 0.21520823, 0.021590907
2.25, -1.8999988, 0.015, 0.15012519, 0.0129333325
2.3000002, -1.5199991, 0.095000006, 0.551683, 0.066913046
2.35, -1.659999, 0.034999996, 0.4088014, 0.027702125
2.4, -1.4799992, 0.09, 0.53444505, 0.0615
2.45, -1.7599989, 0.049999993, 0.28148383, 0.03673469
2.5, -1.679999, 0.05999999, 0.34406495, 0.042239994
2.5500002, -1.4999992, 0.06499999, 0.46136138, 0.044352934
2.6, -1.639999, 0.06999999, 0.34934986, 0.04630769
2.65, -1.3799993, 0.09, 0.4873481, 0.055698115
2.7, -1.4799992, 0.09, 0.42227754, 0.05466667
2.75, -1.2599994, 0.10500001, 0.49317044, 0.06032728
2.8000002, -1.7599989, 0.044999994, 0.21551102, 0.029249996
2.85, -1.5399991, 0.06999999, 0.3488586, 0.04224561
2.9, -1.4199992, 0.08, 0.42977425, 0.053241383
2.95, -1.4399992, 0.10500001, 0.37065247, 0.056237295
